I;D
motility_egd_rt;573,4882115
motility_egd_rt;687,0345463
motility_egd_rt;658,9068987
motility_egd_rt;849,8783257
motility_egd_rt;716,739558
motility_egd_rt;653,2533818
motility_egd_rt;868,6210994
motility_egd_rt;893,2402697
motility_egd_rt;1034,743501
motility_egd_rt;854,8681914
motility_egd_rt;1144,839895
motility_egd_rt;549,7270441
motility_egd_rt;778,0583934
motility_egd_rt;882,2184863
motility_egd_rt;532,0830091
motility_egd_rt;708,7034328
motility_egd_rt;834,1065976
motility_egd_rt;713,6747544
motility_egd_rt;825,2654093
motility_egd_rt;751,3090734
motility_egd_rt;834,4482013
motility_egd_rt;944,8559533
motility_egd_rt;677,2448712
motility_egd_rt;763,1276519
motility_egd_rt;883,6027804
motility_egd_rt;733,8797714
motility_egd_rt;378,6435029
motility_egd_rt;591,9419442
motility_egd_rt;713,9998571
motility_egd_rt;920,1250065
motility_egd_rt;715,4820764
motility_egd_rt;630,2922721
motility_egd_rt;941,7859793
motility_egd_rt;616,3603527
motility_egd_rt;923,6378315
motility_egd_rt;1018,25802
motility_egd_rt;907,0982965
motility_egd_rt;904,1718776
motility_egd_rt;523,9296383
motility_egd_rt;483,9444889
motility_egd_rt;659,7234044
motility_egd_rt;574,48349
motility_egd_rt;561,0462932
motility_egd_rt;634,2682676
motility_egd_rt;1347,240998
motility_egd_rt;527,3944099
motility_egd_rt;652,3641282
motility_egd_rt;938,0842481
motility_egd_rt;644,5524923
motility_egd_rt;623,9187893
motility_egd_rt;577,8729287
motility_egd_rt;798,4008609
motility_egd_rt;1032,495602
motility_egd_rt;658,2060078
motility_egd_rt;985,2537861
motility_egd_rt;464,4148536
motility_egd_rt;944,6600355
motility_egd_rt;657,6175188
motility_egd_rt;779,8023845
motility_egd_rt;635,2784212
motility_egd_rt;739,1613945
motility_egd_rt;1547,370042
motility_egd_rt;665,8236599
motility_egd_rt;657,6089235
motility_egd_rt;374,7574218
motility_egd_rt;872,5943662
motility_egd_rt;520,4188178
motility_egd_rt;565,0844341
motility_egd_rt;1030,835489
motility_egd_rt;1033,062191
motility_egd_rt;756,5336468
motility_egd_rt;435,763757
motility_egd_rt;796,9930727
motility_egd_rt;464,6120477
motility_egd_rt;593,7744763
motility_egd_rt;687,7849046
motility_egd_rt;888,5985239
motility_egd_rt;476,4449609
motility_egd_rt;378,5596342
motility_egd_rt;805,3130964
motility_egd_rt;591,887261
motility_egd_rt;1402,024771
motility_egd_rt;729,3818593
motility_egd_rt;616,6822541
motility_egd_rt;631,284013
motility_egd_rt;764,1581638
motility_egd_rt;752,5622917
motility_egd_rt;668,1268011
motility_egd_rt;697,9932003
motility_egd_rt;806,8380341
motility_egd_rt;807,1615779
motility_egd_rt;549,5272909
motility_egd_rt;533,1958375
motility_egd_rt;734,3400459
motility_egd_rt;720,7607706
motility_egd_rt;854,402605
motility_egd_rt;444,8511811
motility_egd_rt;868,4720488
motility_egd_rt;746,9225514
motility_egd_rt;1526,823951
motility_egd_rt;491,2689956
motility_egd_rt;802,7884092
motility_egd_rt;1086,411204
motility_egd_rt;614,8221511
motility_egd_rt;796,1471705
motility_egd_rt;995,3424947
motility_egd_rt;558,0687187
motility_egd_rt;501,3166006
motility_egd_rt;1037,904084
motility_egd_rt;601,0891463
motility_egd_rt;587,5524203
motility_egd_rt;361,9844375
motility_egd_rt;1114,448285
motility_egd_rt;458,4624878
motility_egd_rt;513,5567927
motility_egd_rt;575,0541839
motility_egd_rt;588,6650223
motility_egd_rt;799,1256465
motility_egd_rt;712,7213133
motility_egd_rt;1018,998359
motility_egd_rt;906,6270627
motility_egd_rt;493,5487306
motility_egd_rt;630,7167697
motility_egd_rt;845,6836713
motility_egd_rt;462,4843633
motility_egd_rt;649,2911903
motility_egd_rt;639,6718282
motility_egd_rt;705,8532823
motility_egd_rt;745,9136894
motility_egd_rt;582,1783376
motility_egd_rt;1104,405273
motility_egd_rt;1165,578104
motility_egd_rt;496,3753882
motility_egd_rt;659,6310011
motility_egd_rt;462,9285853
motility_egd_rt;495,8855935
motility_egd_rt;725,9097547
motility_egd_rt;704,0380083
motility_egd_rt;856,1334225
motility_egd_rt;551,4274907
motility_egd_rt;552,5590462
motility_egd_rt;694,7779244
motility_egd_rt;683,5597401
motility_egd_rt;1027,826286
motility_egd_rt;380,9183891
motility_egd_rt;835,6588587
motility_egd_rt;670,0569954
motility_egd_rt;594,5435606
