Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,8,1,0.25,295.338,258.637,0.1815
149.029,309.336,0.1815,um,Spot,Position,1,1000000277,277,fill,278,1,0.25,149.029,309.336,0.1815,,,285,1,0.25,494.225,310.221,0.1815
172.915,310.085,0.1815,um,Spot,Position,1,1000000280,280,fill,281,1,0.25,172.915,310.085,0.1815,,,291,1,0.25,320.203,311.234,0.1815
494.225,310.221,0.1815,um,Spot,Position,1,1000000284,284,fill,285,1,0.25,494.225,310.221,0.1815,,,292,1,0.25,364.169,311.259,0.1815
320.203,311.234,0.1815,um,Spot,Position,1,1000000290,290,fill,291,1,0.25,320.203,311.234,0.1815,,,294,1,0.25,179.237,311.722,0.1815
364.169,311.259,0.1815,um,Spot,Position,1,1000000291,291,fill,292,1,0.25,364.169,311.259,0.1815,,,298,1,0.25,373.456,312.384,0.1815
179.237,311.722,0.1815,um,Spot,Position,1,1000000293,293,fill,294,1,0.25,179.237,311.722,0.1815,,,299,1,0.25,386.749,312.181,0.1815
373.456,312.384,0.1815,um,Spot,Position,1,1000000297,297,fill,298,1,0.25,373.456,312.384,0.1815,,,301,1,0.25,393.282,312.731,0.1815
386.749,312.181,0.1815,um,Spot,Position,1,1000000298,298,fill,299,1,0.25,386.749,312.181,0.1815,,,315,1,0.25,241.981,316.063,0.1815
393.282,312.731,0.1815,um,Spot,Position,1,1000000300,300,fill,301,1,0.25,393.282,312.731,0.1815,,,318,1,0.25,491.227,316.18,0.1815
241.981,316.063,0.1815,um,Spot,Position,1,1000000314,314,fill,315,1,0.25,241.981,316.063,0.1815,,,320,1,0.25,418.136,316.797,0.1815
491.227,316.18,0.1815,um,Spot,Position,1,1000000317,317,fill,318,1,0.25,491.227,316.18,0.1815,,,324,1,0.25,267.028,317.579,0.1815
418.136,316.797,0.1815,um,Spot,Position,1,1000000319,319,fill,320,1,0.25,418.136,316.797,0.1815,,,325,1,0.25,476.924,317.592,0.1815
267.028,317.579,0.1815,um,Spot,Position,1,1000000323,323,fill,324,1,0.25,267.028,317.579,0.1815,,,326,1,0.25,236.895,317.661,0.1815
